"","tag_id","date","stage","origin","fork_length_mm","action","species"
"1","989.001039732927",2022-05-04,"facility","hatch",22.9,"tag","co"
"2","989.001039732928",2022-05-04,"facility","hatch",22.9,"tag","co"
"3","989.001039732929",2022-05-04,"facility","hatch",22.9,"tag","co"
"4","989.00103973293",2022-05-04,"facility","hatch",22.9,"tag","co"
"5","989.001039732931",2022-05-04,"facility","hatch",22.9,"tag","co"
"6","989.001039732932",2022-05-04,"facility","hatch",22.9,"tag","co"
"7","989.001039732933",2022-05-04,"facility","hatch",22.9,"tag","co"
"8","989.001039732935",2022-05-04,"facility","hatch",22.9,"tag","co"
"9","989.001039732936",2022-05-04,"facility","hatch",22.9,"tag","co"
"10","989.001039732937",2022-05-04,"facility","hatch",22.9,"tag","co"
"11","989.001039732938",2022-05-04,"facility","hatch",22.9,"tag","co"
"12","989.001039732939",2022-05-04,"facility","hatch",22.9,"tag","co"
"13","989.00103973294",2022-05-04,"facility","hatch",22.9,"tag","co"
"14","989.001039732941",2022-05-04,"facility","hatch",22.9,"tag","co"
"15","989.001039732942",2022-05-04,"facility","hatch",22.9,"tag","co"
"16","989.001039732943",2022-05-04,"facility","hatch",22.9,"tag","co"
"17","989.001039732944",2022-05-04,"facility","hatch",22.9,"tag","co"
"18","989.001039732945",2022-05-04,"facility","hatch",22.9,"tag","co"
"19","989.001039732946",2022-05-04,"facility","hatch",22.9,"tag","co"
"20","989.001039732947",2022-05-04,"facility","hatch",22.9,"tag","co"
"21","989.001039732948",2022-05-04,"facility","hatch",22.9,"tag","co"
"22","989.001039732949",2022-05-04,"facility","hatch",22.9,"tag","co"
"23","989.00103973295",2022-05-04,"facility","hatch",22.9,"tag","co"
"24","989.001039732951",2022-05-04,"facility","hatch",22.9,"tag","co"
"25","989.001039732952",2022-05-04,"facility","hatch",22.9,"tag","co"
"26","989.001039732953",2022-05-04,"facility","hatch",22.9,"tag","co"
"27","989.001039732954",2022-05-04,"facility","hatch",22.9,"tag","co"
"28","989.001039732955",2022-05-04,"facility","hatch",22.9,"tag","co"
"29","989.001039732956",2022-05-04,"facility","hatch",22.9,"tag","co"
"30","989.001039732957",2022-05-04,"facility","hatch",22.9,"tag","co"
"31","989.001039732958",2022-05-04,"facility","hatch",22.9,"tag","co"
"32","989.001039732959",2022-05-04,"facility","hatch",22.9,"tag","co"
"33","989.00103973296",2022-05-04,"facility","hatch",22.9,"tag","co"
"34","989.001039732961",2022-05-04,"facility","hatch",22.9,"tag","co"
"35","989.001039732962",2022-05-04,"facility","hatch",22.9,"tag","co"
"36","989.001039732963",2022-05-04,"facility","hatch",22.9,"tag","co"
"37","989.001039732964",2022-05-04,"facility","hatch",22.9,"tag","co"
"38","989.001039732965",2022-05-04,"facility","hatch",22.9,"tag","co"
"39","989.001039732966",2022-05-04,"facility","hatch",22.9,"tag","co"
"40","989.001039732967",2022-05-04,"facility","hatch",22.9,"tag","co"
"41","989.001039732968",2022-05-04,"facility","hatch",22.9,"tag","co"
"42","989.001039732969",2022-05-04,"facility","hatch",22.9,"tag","co"
"43","989.00103973297",2022-05-04,"facility","hatch",22.9,"tag","co"
"44","989.001039732971",2022-05-04,"facility","hatch",22.9,"tag","co"
"45","989.001039732972",2022-05-04,"facility","hatch",22.9,"tag","co"
"46","989.001039732973",2022-05-04,"facility","hatch",22.9,"tag","co"
"47","989.001039732974",2022-05-04,"facility","hatch",22.9,"tag","co"
"48","989.001039732975",2022-05-04,"facility","hatch",22.9,"tag","co"
"49","989.001039732976",2022-05-04,"facility","hatch",22.9,"tag","co"
"50","989.001039732977",2022-05-04,"facility","hatch",22.9,"tag","co"
"51","989.001039732978",2022-05-04,"facility","hatch",22.9,"tag","co"
"52","989.001039732979",2022-05-04,"facility","hatch",22.9,"tag","co"
"53","989.00103973298",2022-05-04,"facility","hatch",22.9,"tag","co"
"54","989.001039732981",2022-05-04,"facility","hatch",22.9,"tag","co"
